x,y,z,r,curvature,torsion
70.7035,71.4125,52.1384,2.18661,0.0497648,-0.392303
70.4649,71.2839,52.1994,2.14094,0.0616025,-0.263541
70.227,71.1549,52.2557,2.10752,0.0741257,-0.187618
69.9897,71.0255,52.3065,2.03886,0.087158,-0.139921
69.7527,70.8961,52.3507,2.02131,0.100575,-0.108227
69.5159,70.7666,52.3874,2.0491,0.114253,-0.0861409
69.2791,70.6373,52.4157,2.0244,0.128047,0.150993
69.0423,70.5081,52.4349,2.08277,0.111676,2.01E-01
68.8052,70.3788,52.446,2.10333,0.0953057,2.75E-01
68.5678,70.2486,52.4502,2.09773,0.0795785,3.88E-01
68.3301,70.1172,52.4487,2.06399,0.0653515,5.61E-01
68.0918,69.984,52.4427,2.07773,0.0539155,7.96E-01
67.8531,69.8484,52.4335,2.00774,0.0471151,1.00E+00
67.6136,69.7099,52.4223,2.02937,0.0465497,9.76E-01
67.3735,69.5679,52.4103,2.05538,0.0518635,7.44E-01
67.1325,69.422,52.3988,2.09106,0.060984,5.06E-01
66.8906,69.2716,52.389,2.11803,0.0719399,-1.27E-01
66.6478,69.1162,52.3819,2.1528,0.0652118,-0.144394
66.4043,68.9561,52.3773,2.04252,0.0591094,-0.165244
66.1604,68.7914,52.3748,2.02311,0.0536278,-0.19008
65.9163,68.6223,52.3742,2.01886,0.0487815,-0.219048
65.6725,68.4492,52.3751,1.98198,0.0446067,-0.25156
65.4291,68.2723,52.377,1.98759,0.0411619,-0.285689
65.1866,68.0918,52.3797,1.98281,0.0385235,-0.317626
64.9451,67.9079,52.3827,2.01446,0.0367737,-0.341826
64.7049,67.7209,52.3857,1.96388,0.0359791,-0.352615
64.4664,67.5311,52.3883,1.96775,0.0361679,-0.346948
64.2298,67.3386,52.3902,1.94021,0.0325238,5.71E-15
63.995,67.1437,52.3915,1.95372,0.0288829,-7.75E-15
63.7617,66.9468,52.3921,1.96405,0.025248,-1.01E-14
63.5298,66.748,52.3923,1.99197,0.0216205,-1.49E-14
63.2991,66.5476,52.3919,1.99352,0.0180012,-1.14E-14
63.0694,66.3459,52.3912,2.06385,0.0143897,-4.72E-14
62.8404,66.1432,52.3902,2.07572,0.0107854,-1.17E-13
62.612,65.9396,52.389,2.10368,0.00718687,7.13E-14
